notification_id,user_id,title,message,type,category,read,action_url,created_at,id
not-0014,b1a1d1e1-0014-4000-8000-000000000014,Job Application Rejected,Your application for Backend Developer was rejected.,info,application,true,https://jobs.harbor.edu/job-0003,2024-01-27T21:00:00Z,3d65be4f-dafb-4a7d-a4a4-2069f6cff877
not-0015,b1a1d1e1-0015-4000-8000-000000000015,Assignment Feedback,Feedback available for your Database Systems assignment.,info,system,false,https://assignments.harbor.edu/asg-0004,2024-01-28T22:00:00Z,7e3b08ee-3c31-483a-a7af-dccc94c85627
not-0016,b1a1d1e1-0016-4000-8000-000000000016,Skill Verified,Your Python skill has been verified.,success,system,true,https://skills.harbor.edu/usk-0003,2024-01-29T23:00:00Z,607851ae-9ede-47f3-b149-a4c95d0988e7
not-0017,b1a1d1e1-0017-4000-8000-000000000017,Project Presentation,Your project presentation is scheduled for next week.,info,system,false,https://projects.harbor.edu/proj-0002,2024-01-30T08:00:00Z,3741ac6a-ae07-4b97-8a92-e11421d156c7
not-0018,b1a1d1e1-0018-4000-8000-000000000018,Course Enrollment,You have been enrolled in Machine Learning.,info,system,false,https://courses.harbor.edu/crs-0004,2024-01-31T09:00:00Z,6772b2c0-d7e2-44f0-81c3-f1a3a1e97be4
not-0019,b1a1d1e1-0019-4000-8000-000000000019,Job Interview Scheduled,Your interview for Data Analyst is scheduled.,info,application,true,https://jobs.harbor.edu/job-0004,2024-02-01T10:00:00Z,4fcff810-8750-4e8f-ba39-4091b3713661
not-0020,b1a1d1e1-0020-4000-8000-000000000020,Assignment Graded,Your Machine Learning assignment has been graded.,info,system,false,https://assignments.harbor.edu/asg-0005,2024-02-02T11:00:00Z,cf818fe2-0d3e-43b6-aa92-1ad14ae61251
not-0021,b1a1d1e1-0021-4000-8000-000000000021,Badge Earned,Congratulations! You earned the Python Pro badge.,success,badge,false,https://badges.harbor.edu/bdg-0003,2024-02-03T12:00:00Z,3f18295e-bf60-4a2d-b458-382f6ff235b1
not-0022,b1a1d1e1-0022-4000-8000-000000000022,Course Completed,You have completed Thermodynamics.,info,system,true,https://courses.harbor.edu/crs-0002,2024-02-04T13:00:00Z,8a2b621e-a62f-4c43-bade-81bef815276d
not-0023,b1a1d1e1-0023-4000-8000-000000000023,Skill Endorsed,Your Java skill was endorsed by Dr. Michael Kumar.,success,message,true,https://skills.harbor.edu/usk-0004,2024-02-05T14:00:00Z,92e80108-90af-48c1-ad40-d59d4314594f
not-0024,b1a1d1e1-0024-4000-8000-000000000024,Job Offer,You received a job offer from Innovate Inc.,info,job,false,https://jobs.harbor.edu/job-0005,2024-02-06T15:00:00Z,3265c3bd-6df6-480b-ad1b-a97424e4592f
not-0025,b1a1d1e1-0025-4000-8000-000000000025,Transcript Updated,Your transcript has been updated.,info,system,true,https://transcripts.harbor.edu/trn-0002,2024-02-07T16:00:00Z,d582a56b-df33-4e0a-986f-0938abd9bed2
not-0026,b1a1d1e1-0026-4000-8000-000000000026,Assignment Due,Your assignment on Operating Systems is due tomorrow.,info,system,false,https://assignments.harbor.edu/asg-0006,2024-02-08T17:00:00Z,10c1cd5c-1706-4b7a-af03-1fc1f7a866b2
not-0027,b1a1d1e1-0027-4000-8000-000000000027,Course Enrollment,You have been enrolled in Artificial Intelligence.,info,system,false,https://courses.harbor.edu/crs-0005,2024-02-09T18:00:00Z,3677ded3-cc41-40db-9c90-f8b8807f9dd5
not-0028,b1a1d1e1-0028-4000-8000-000000000028,Job Application Status,Your application for Full Stack Developer is under review.,info,application,true,https://jobs.harbor.edu/job-0006,2024-02-10T19:00:00Z,2d2408ba-dcc3-4c0e-87c5-c42668b761dd
not-0029,b1a1d1e1-0029-4000-8000-000000000029,Assignment Feedback,Feedback available for your AI assignment.,info,system,false,https://assignments.harbor.edu/asg-0007,2024-02-11T20:00:00Z,85af2a1f-d5e3-4fcc-a5c5-845e61562a74
not-0030,b1a1d1e1-0030-4000-8000-000000000030,Skill Verified,Your SQL skill has been verified.,success,system,true,https://skills.harbor.edu/usk-0005,2024-02-12T21:00:00Z,39e09098-1317-4c40-bff1-ce1127d06e75
not-0031,b1a1d1e1-0031-4000-8000-000000000031,Project Milestone,Final Report milestone achieved.,info,system,true,https://projects.harbor.edu/proj-0002,2024-02-13T22:00:00Z,753b3b6b-ffc8-4c1c-ae39-549cfc78e397
not-0032,b1a1d1e1-0032-4000-8000-000000000032,New Notification,Your profile was viewed by a university admin.,info,system,false,https://profiles.harbor.edu/b1a1d1e1-0032-4000-8000-000000000032,2024-02-14T23:00:00Z,246e324d-5f31-4a9a-ad82-0f0b16489a4e
not-0033,b1a1d1e1-0033-4000-8000-000000000033,Job Application Accepted,Your application for Data Scientist was accepted.,info,application,true,https://jobs.harbor.edu/job-0007,2024-02-15T08:00:00Z,1b14f4ea-5454-4750-98bd-329fa80c2b2b
not-0034,b1a1d1e1-0034-4000-8000-000000000034,Assignment Graded,Your Operating Systems assignment has been graded.,info,system,false,https://assignments.harbor.edu/asg-0008,2024-02-16T09:00:00Z,c4704c29-e7a9-4577-8799-321bbbc951ae
not-0035,b1a1d1e1-0035-4000-8000-000000000035,Badge Earned,Congratulations! You earned the Leadership badge.,success,badge,false,https://badges.harbor.edu/bdg-0004,2024-02-17T10:00:00Z,da654b09-3745-4533-b4b9-b154dc2420ae
not-0036,b1a1d1e1-0036-4000-8000-000000000036,Course Completed,You have completed Artificial Intelligence.,info,system,true,https://courses.harbor.edu/crs-0005,2024-02-18T11:00:00Z,418d1add-5125-4f50-9de6-49865faa5f4e
not-0037,b1a1d1e1-0037-4000-8000-000000000037,Skill Endorsed,Your C++ skill was endorsed by Dr. Ethan Murphy.,success,message,true,https://skills.harbor.edu/usk-0006,2024-02-19T12:00:00Z,6581fed9-8d0c-47d3-adbc-e281e8bd1435
not-0038,b1a1d1e1-0038-4000-8000-000000000038,Job Offer,You received a job offer from Harbor Solutions.,info,job,false,https://jobs.harbor.edu/job-0008,2024-02-20T13:00:00Z,85843e48-0b24-4d80-b0b5-a9cec6b617ed
not-0039,b1a1d1e1-0039-4000-8000-000000000039,Transcript Updated,Your transcript has been updated.,info,system,true,https://transcripts.harbor.edu/trn-0003,2024-02-21T14:00:00Z,989dabc4-9692-419e-9091-8e16f0baef7a
not-0040,b1a1d1e1-0040-4000-8000-000000000040,Assignment Due,Your assignment on Computer Networks is due tomorrow.,info,system,false,https://assignments.harbor.edu/asg-0009,2024-02-22T15:00:00Z,460d2e27-8319-44e2-94d5-f1173be26cf4
not-0041,b1a1d1e1-0041-4000-8000-000000000041,Course Enrollment,You have been enrolled in Computer Networks.,info,system,false,https://courses.harbor.edu/crs-0006,2024-02-23T16:00:00Z,f7bf22fc-d394-469e-ba25-cd077d914c37
not-0042,b1a1d1e1-0042-4000-8000-000000000042,Job Interview Scheduled,Your interview for Software Engineer is scheduled.,info,application,true,https://jobs.harbor.edu/job-0009,2024-02-24T17:00:00Z,1faa90e5-6388-4bd6-8b0d-aa46aed12ee4
not-0043,b1a1d1e1-0043-4000-8000-000000000043,Assignment Graded,Your Computer Networks assignment has been graded.,info,system,false,https://assignments.harbor.edu/asg-0010,2024-02-25T18:00:00Z,0e74c928-ce8c-4bf6-af4f-2b681b32341f
not-0044,b1a1d1e1-0044-4000-8000-000000000044,Badge Earned,Congratulations! You earned the Innovator badge.,success,badge,false,https://badges.harbor.edu/bdg-0005,2024-02-26T19:00:00Z,22692075-6919-4272-a438-f508a40374dc
not-0045,b1a1d1e1-0045-4000-8000-000000000045,Course Completed,You have completed Computer Networks.,info,system,true,https://courses.harbor.edu/crs-0006,2024-02-27T20:00:00Z,3caa906d-f936-46f6-9b6a-bc670f014367
not-0046,b1a1d1e1-0046-4000-8000-000000000046,Skill Endorsed,Your HTML skill was endorsed by Dr. Lucas Evans.,success,message,true,https://skills.harbor.edu/usk-0007,2024-02-28T21:00:00Z,7a3c5f89-10ce-41a1-a08a-096888528db4
not-0047,b1a1d1e1-0047-4000-8000-000000000047,Job Offer,You received a job offer from PPSU University.,info,job,false,https://jobs.harbor.edu/job-0010,2024-03-01T22:00:00Z,ac9f2d08-e29d-4bf1-9b0a-5e78806d63ee
not-0048,b1a1d1e1-0048-4000-8000-000000000048,Transcript Updated,Your transcript has been updated.,info,system,true,https://transcripts.harbor.edu/trn-0004,2024-03-02T23:00:00Z,e0b36f2c-bc3a-4f57-8af5-b580df4bb0b1
not-0049,b1a1d1e1-0049-4000-8000-000000000049,Assignment Due,Your assignment on Web Development is due tomorrow.,info,system,false,https://assignments.harbor.edu/asg-0011,2024-03-03T08:00:00Z,006358d1-3eca-44e0-b0fe-90ad3a8a09a6
not-0050,b1a1d1e1-0050-4000-8000-000000000050,Course Enrollment,You have been enrolled in Web Development.,info,system,false,https://courses.harbor.edu/crs-0007,2024-03-04T09:00:00Z,8e3deee2-7093-4fe5-a20b-da7a6c349ca2
