job_id,recruiter_id,company,title,description,requirements,location,job_type,salary_min,salary_max,experience_level,skills_required,status,applications_count,views_count,created_at,updated_at,id
job-0011,b1a1d1e1-3011-4000-8000-000000000311,BioGen,Biotech Researcher,Conduct biotech research projects.,"Biology, Research",San Diego,full-time,85000,115000,senior,"Biology, Research",active,7,75,2024-01-30T09:00:00Z,2024-01-25T09:00:00Z,f311c5e8-c692-4bea-b407-2c0a7bdcfb0e
job-0012,b1a1d1e1-3012-4000-8000-000000000312,MarketMinds,Marketing Specialist,Develop marketing campaigns.,"Marketing, Creativity",Los Angeles,full-time,65000,90000,mid,"Marketing, Creativity",active,10,120,2024-02-01T09:00:00Z,2024-01-25T09:00:00Z,090e537a-5645-48f2-b583-c6ea2e5eb546
job-0013,b1a1d1e1-3013-4000-8000-000000000313,SecureIT,Cybersecurity Analyst,Monitor and secure IT systems.,"Security, Networking",Washington,full-time,90000,125000,senior,"Security, Networking",active,8,100,2024-02-03T09:00:00Z,2024-01-25T09:00:00Z,14fc0a5f-ea02-495f-b992-77429453b76f
job-0014,b1a1d1e1-3014-4000-8000-000000000314,BuildRight,Civil Engineer,Plan and oversee construction projects.,"Civil, Project Management",Houston,full-time,85000,110000,mid,"Civil, Project Management",active,9,115,2024-02-05T09:00:00Z,2024-01-25T09:00:00Z,87530234-f36f-4dc9-88fa-1c919341de8e
job-0015,b1a1d1e1-3015-4000-8000-000000000315,AgroGrow,Agricultural Scientist,Research crop improvement methods.,"Agriculture, Research",Des Moines,full-time,70000,95000,mid,"Agriculture, Research",active,6,80,2024-02-07T09:00:00Z,2024-01-25T09:00:00Z,275677f9-3c22-4cc0-bbfc-c9c15fc1ddc8
job-0016,b1a1d1e1-3016-4000-8000-000000000316,TravelEase,Travel Consultant,Plan travel itineraries for clients.,"Travel, Communication",Orlando,part-time,35000,50000,entry,"Travel, Communication",active,5,60,2024-02-09T09:00:00Z,2024-01-25T09:00:00Z,cac7f3cf-4580-4c9b-9a32-200f297f5c7d
job-0017,b1a1d1e1-3017-4000-8000-000000000317,Foodies,Food Scientist,Develop new food products.,"Food Science, Research",Portland,full-time,75000,100000,mid,"Food Science, Research",active,7,90,2024-02-11T09:00:00Z,2024-01-25T09:00:00Z,f86b4e40-8d49-4fc9-8a00-138beda0113c
job-0018,b1a1d1e1-3018-4000-8000-000000000318,MediaWave,Content Creator,Produce digital content for media.,"Content, Media",Atlanta,full-time,60000,85000,entry,"Content, Media",active,8,110,2024-02-13T09:00:00Z,2024-01-25T09:00:00Z,d4f3ec23-527f-432f-b597-cea04aa90e51
job-0019,b1a1d1e1-3019-4000-8000-000000000319,LegalEdge,Legal Associate,Assist in legal research and documentation.,"Law, Research",Philadelphia,full-time,80000,105000,mid,"Law, Research",active,6,70,2024-02-15T09:00:00Z,2024-01-25T09:00:00Z,6f618fff-0717-4929-bda4-b835edceede4
job-0020,b1a1d1e1-3020-4000-8000-000000000320,UrbanPlan,Urban Planner,Design urban development plans.,"Urban Planning, GIS",Phoenix,full-time,85000,115000,senior,"Urban Planning, GIS",active,7,95,2024-02-17T09:00:00Z,2024-01-25T09:00:00Z,a6b1e8cb-25b5-4fd8-92f7-da67dc51b11b
job-0021,b1a1d1e1-3021-4000-8000-000000000321,TechCorp,Mobile Developer,Develop mobile applications for iOS/Android.,"Swift, Kotlin, React Native",New York,full-time,80000,110000,mid,"Swift, Kotlin",active,9,140,2024-02-19T09:00:00Z,2024-01-25T09:00:00Z,8d2f129c-d0b4-4844-bcc5-2f7ada1397d5
job-0022,b1a1d1e1-3022-4000-8000-000000000322,Innovate Inc,DevOps Engineer,Implement CI/CD pipelines and automation.,"CI/CD, Docker, Jenkins",San Francisco,full-time,90000,120000,senior,"CI/CD, Docker",active,8,130,2024-02-21T09:00:00Z,2024-01-25T09:00:00Z,72310bef-603b-4aaa-9ddb-735e927f35a9
job-0023,b1a1d1e1-3023-4000-8000-000000000323,DataWorks,Business Intelligence Analyst,Create BI reports and dashboards.,"BI, SQL, PowerBI",Chicago,full-time,75000,95000,mid,"BI, SQL",active,10,110,2024-02-23T09:00:00Z,2024-01-25T09:00:00Z,c474e87c-53e7-4628-9df9-888c520ae858
job-0024,b1a1d1e1-3024-4000-8000-000000000324,CloudNet,Cloud Engineer,Deploy and manage cloud solutions.,"AWS, Azure, GCP",Seattle,full-time,95000,130000,senior,"AWS, Azure",active,6,100,2024-02-25T09:00:00Z,2024-01-25T09:00:00Z,ce86d8d2-80ac-44c0-901d-a58b56b3c71f
job-0025,b1a1d1e1-3025-4000-8000-000000000325,FinEdge,Accountant,Manage company accounts and finances.,"Accounting, Excel",Boston,full-time,60000,80000,mid,"Accounting, Excel",active,9,120,2024-02-27T09:00:00Z,2024-01-25T09:00:00Z,11758670-72a6-460e-9b75-2b886f9e394c
job-0026,b1a1d1e1-3026-4000-8000-000000000326,EduNext,Instructional Designer,Design educational materials.,"Instructional Design, Education",Austin,part-time,40000,60000,entry,"Instructional Design, Education",active,5,80,2024-03-01T09:00:00Z,2024-01-25T09:00:00Z,7eddbfc4-a130-4ef5-ab4e-8d6d508815a6
job-0027,b1a1d1e1-3027-4000-8000-000000000327,HealthPlus,Clinical Data Manager,Manage clinical trial data.,"Clinical Data, Healthcare",Miami,full-time,90000,120000,senior,"Clinical Data, Healthcare",active,7,90,2024-03-03T09:00:00Z,2024-01-25T09:00:00Z,eb58a61d-c3be-4da4-8419-c9ee773d1b8e
job-0028,b1a1d1e1-3028-4000-8000-000000000328,GreenTech,Environmental Engineer,Develop environmental solutions.,"Engineering, Sustainability",Denver,full-time,70000,95000,mid,"Engineering, Sustainability",active,8,105,2024-03-05T09:00:00Z,2024-01-25T09:00:00Z,a2873b72-a7a2-415d-8d77-a17c674532bc
job-0029,b1a1d1e1-3029-4000-8000-000000000329,RetailHub,Digital Marketing Manager,Lead digital marketing efforts.,"Digital Marketing, SEO",Dallas,full-time,75000,100000,senior,"Digital Marketing, SEO",active,11,150,2024-03-07T09:00:00Z,2024-01-25T09:00:00Z,30df5694-c37b-48ad-b28e-7098e832befc
job-0030,b1a1d1e1-3030-4000-8000-000000000330,AutoDrive,Automotive Designer,Design vehicle exteriors and interiors.,"Design, AutoCAD",Detroit,full-time,80000,105000,mid,"Design, AutoCAD",active,6,95,2024-03-09T09:00:00Z,2024-01-25T09:00:00Z,7a19e193-c015-4751-b300-c4cc1650aa4f
job-0031,b1a1d1e1-3031-4000-8000-000000000331,BioGen,Lab Technician,Assist in laboratory experiments.,"Lab, Biology",San Diego,full-time,85000,115000,entry,"Lab, Biology",active,7,85,2024-03-11T09:00:00Z,2024-01-25T09:00:00Z,4364ae7a-8dae-442f-b2f0-4eefafc631d6
job-0032,b1a1d1e1-3032-4000-8000-000000000332,MarketMinds,Brand Manager,Manage brand strategy and execution.,"Branding, Marketing",Los Angeles,full-time,65000,90000,mid,"Branding, Marketing",active,10,130,2024-03-13T09:00:00Z,2024-01-25T09:00:00Z,e7b78f88-cb9a-4e56-b784-ff60e8c86709
job-0033,b1a1d1e1-3033-4000-8000-000000000333,SecureIT,Network Engineer,Design and maintain network infrastructure.,"Networking, Security",Washington,full-time,90000,125000,senior,"Networking, Security",active,8,120,2024-03-15T09:00:00Z,2024-01-25T09:00:00Z,49b33e99-0b8e-4019-bd6b-c0ca11f61e91
job-0034,b1a1d1e1-3034-4000-8000-000000000334,BuildRight,Site Supervisor,Supervise construction sites.,"Supervision, Civil",Houston,full-time,85000,110000,mid,"Supervision, Civil",active,9,135,2024-03-17T09:00:00Z,2024-01-25T09:00:00Z,9cdc4c52-d084-48b8-a4b0-dbf638e52c3f
job-0035,b1a1d1e1-3035-4000-8000-000000000335,AgroGrow,Farm Manager,Oversee farm operations.,"Management, Agriculture",Des Moines,full-time,70000,95000,mid,"Management, Agriculture",active,6,100,2024-03-19T09:00:00Z,2024-01-25T09:00:00Z,16f05e3c-5225-4eb5-ad8c-686f3c7d86bb
job-0036,b1a1d1e1-3036-4000-8000-000000000336,TravelEase,Tour Guide,Lead tours for clients.,"Tourism, Communication",Orlando,part-time,35000,50000,entry,"Tourism, Communication",active,5,70,2024-03-21T09:00:00Z,2024-01-25T09:00:00Z,baced468-9e62-41ac-8434-128830bb80c0
job-0037,b1a1d1e1-3037-4000-8000-000000000337,Foodies,Quality Assurance Analyst,Ensure food quality standards.,"QA, Food Science",Portland,full-time,75000,100000,mid,"QA, Food Science",active,7,110,2024-03-23T09:00:00Z,2024-01-25T09:00:00Z,3dd76ee1-8f7e-4474-982c-f12ee7535530
job-0038,b1a1d1e1-3038-4000-8000-000000000338,MediaWave,Video Editor,Edit and produce video content.,"Video Editing, Media",Atlanta,full-time,60000,85000,entry,"Video Editing, Media",active,8,120,2024-03-25T09:00:00Z,2024-01-25T09:00:00Z,a420d005-2dd2-4abb-abd1-02ac9e97a330
job-0039,b1a1d1e1-3039-4000-8000-000000000339,LegalEdge,Paralegal,Support legal team with documentation.,"Law, Documentation",Philadelphia,full-time,80000,105000,mid,"Law, Documentation",active,6,80,2024-03-27T09:00:00Z,2024-01-25T09:00:00Z,0e24dfd1-2247-4392-a6ba-25e17e371528
job-0040,b1a1d1e1-3040-4000-8000-000000000340,UrbanPlan,GIS Analyst,Analyze spatial data for urban planning.,"GIS, Urban Planning",Phoenix,full-time,85000,115000,senior,"GIS, Urban Planning",active,7,110,2024-03-29T09:00:00Z,2024-01-25T09:00:00Z,1503a735-212c-472a-8aec-93b9a1d9e45c
job-0041,b1a1d1e1-3041-4000-8000-000000000341,TechCorp,QA Engineer,Test and ensure software quality.,"QA, Testing",New York,full-time,70000,90000,mid,"QA, Testing",active,12,160,2024-03-31T09:00:00Z,2024-01-25T09:00:00Z,1fcf36c4-3f82-4374-8c19-dde6c64a71f0
job-0042,b1a1d1e1-3042-4000-8000-000000000342,Innovate Inc,Product Manager,Lead product development teams.,"Product Management, Agile",San Francisco,full-time,80000,110000,senior,"Product Management, Agile",active,8,140,2024-04-02T09:00:00Z,2024-01-25T09:00:00Z,c6f30310-453f-438e-96ad-dd2452d0c8a1
job-0043,b1a1d1e1-3043-4000-8000-000000000343,DataWorks,Database Administrator,Manage and optimize databases.,"SQL, Database",Chicago,full-time,65000,85000,mid,"SQL, Database",active,10,120,2024-04-04T09:00:00Z,2024-01-25T09:00:00Z,b92483a1-96bb-4092-880c-830fd2cc74dd
job-0044,b1a1d1e1-3044-4000-8000-000000000344,CloudNet,DevOps Specialist,Automate cloud deployments.,"DevOps, Cloud",Seattle,full-time,95000,130000,senior,"DevOps, Cloud",active,6,110,2024-04-06T09:00:00Z,2024-01-25T09:00:00Z,0bcd626a-f387-49b8-8752-f73c469a59df
job-0045,b1a1d1e1-3045-4000-8000-000000000345,FinEdge,Financial Planner,Advise clients on financial planning.,"Finance, Planning",Boston,full-time,60000,80000,mid,"Finance, Planning",active,9,130,2024-04-08T09:00:00Z,2024-01-25T09:00:00Z,4c988121-ecbf-491e-8e6b-18e860b65473
job-0046,b1a1d1e1-3046-4000-8000-000000000346,EduNext,Academic Advisor,Guide students on academic paths.,"Advising, Education",Austin,part-time,40000,60000,entry,"Advising, Education",active,5,90,2024-04-10T09:00:00Z,2024-01-25T09:00:00Z,4c049a80-961d-4612-ab0a-48d90bc63e01
job-0047,b1a1d1e1-3047-4000-8000-000000000347,HealthPlus,Medical Writer,Write medical documentation.,"Writing, Healthcare",Miami,full-time,90000,120000,senior,"Writing, Healthcare",active,7,100,2024-04-12T09:00:00Z,2024-01-25T09:00:00Z,24fab086-28ff-45d5-8889-15039eaea0b8
job-0048,b1a1d1e1-3048-4000-8000-000000000348,GreenTech,Renewable Energy Engineer,Develop renewable energy systems.,"Renewable Energy, Engineering",Denver,full-time,70000,95000,mid,"Renewable Energy, Engineering",active,8,115,2024-04-14T09:00:00Z,2024-01-25T09:00:00Z,55d8df69-8abb-4762-b0d6-95e00d15e993
job-0049,b1a1d1e1-3049-4000-8000-000000000349,RetailHub,Operations Manager,Oversee retail operations.,"Operations, Management",Dallas,full-time,75000,100000,senior,"Operations, Management",active,11,170,2024-04-16T09:00:00Z,2024-01-25T09:00:00Z,1df78374-2710-469f-aa2b-198b2bfaa11a
job-0050,b1a1d1e1-3050-4000-8000-000000000350,AutoDrive,Production Supervisor,Supervise automotive production lines.,"Production, Supervision",Detroit,full-time,80000,105000,mid,"Production, Supervision",active,6,120,2024-04-18T09:00:00Z,2024-01-25T09:00:00Z,43daf8e3-15ea-4377-8652-377905d09081
